embark_ID,Accession_num,Artist,Printer,Title,Year_Made,Year_Acqd,Media,Media_AAT,Dimensions,Label,Credit_Line,Notes
6,001.1998,John Marin,,Lobster Fisherman,1948,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
5771,001.2008,Virgil Williams,,View of Mt. Katahdin from the West Bank of the Penobscot River,1870,2008,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",26 1/4 in. x 40 in. (66.68 cm x 101.6 cm),,The Lunder Collection,
6556,001.2009,James McNeill Whistler,,"Calle san Trovaso, Venice",ca. 1879-1880,2009,Chalk and pencil on brown paper,"chalk AAT:(300011727), pencils (drawing and writing equipment) AAT:(300022439), paper (fiber product) AAT:(300014109)",10 7/8 in. x 4 15/16 in. (27.62 cm x 12.54 cm),,The Lunder Collection,
6883,001.2010,James McNeill Whistler,,The Dyer,1879-1880,2010,Etching and drypoint in brown black ink on paper; sixth state (of ten),"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), paper (fiber product) AAT:(300014109)",(305 x 239 mm; 316 x 241 mm),,The Lunder Collection,
7214,001.2011,James McNeill Whistler,,Weary,1863,2011,Drypoint in black ink on ivory Japanese paper; fourth state (of six),"drypoints (prints) AAT:(300041349), ink AAT:(300015012), Japanese paper (handmade paper) AAT:(300014143)",(195 x 128 mm; 260 x 177 mm),,The Lunder Collection,
8304,001.2014,Frederic Edwin Church,,Final Study for The Icebergs,1860,2014,Oil on canvas mounted to masonite,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078), Masonite (TM) AAT:(300014205)",10  x 18 1/8 in. (25.4  x 46.04 cm),,The Lunder Collection,
17,002.1998,John Marin,,"Lower Manhattan, From the Bridge",1931,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
26,002.2007,Dennis Miller Bunker,,Larmor,1884,2007,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",18 in. x 25 1/2 in. (45.72 cm x 64.77 cm),,The Lunder Collection,
5772,002.2008,James McNeill Whistler,,Furniture Shop,1887,2008,Etching in dark brown ink on cream laid paper; first state of two),"etchings (prints) AAT:(300041365), ink AAT:(300015012), laid paper AAT:(300014184)",(plate: 96 x 163 mm),,The Lunder Collection,
6885,002.2010,Mary Cassatt,,Reading the Newspaper,ca. 1882,2010,Soft-ground etching with coarse fabric texture added at right on paper,"soft-ground etchings (visual works) AAT:(300041376), paper (fiber product) AAT:(300014109)",5 1/2 in. x 8 3/4 in. (14 cm x 22.2 cm),,The Lunder Collection,
8341,002.2014,Thomas Moran,,The Great Blue Spring of the Lower Geyser Basin,1872,2014,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",10  x 14 in. (25.4  x 35.56 cm),,The Lunder Collection,
28,003.1998,John Marin,,"Bridge Over Canal, Amsterdam",1906,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
5773,003.2008,Alex Katz,,January 4,1962,2008,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",48 1/2 in. x 41 3/8 in. (123.19 cm x 105.09 cm),,Promised Gift of the Artist,
6558,003.2009,Alex Katz,,Sharon,2009,2009,Linocut on paper,"linocuts (prints) AAT:(300041393), paper (fiber product) AAT:(300014109)",17 3/4 in. x 32 in. (45.09 cm x 81.28 cm),,Promised Gift of the Artist,
6884,003.2010,Mary Cassatt,,In the Opera Box,1879-1880,2010,Soft-ground etching and aquatint on paper,"soft-ground etchings (visual works) AAT:(300041376), aquatints (prints) AAT:(300041366), paper (fiber product) AAT:(300014109)",12 3/16 in. x 9 5/16 in. (30.96 cm x 23.65 cm),,The Lunder Collection,
8360,003.2014,Rembrandt van Rijn,,The Three Trees,1643,2014,Etching with engraving and drypoint in black ink on ivory paper,"etchings (prints) AAT:(300041365), engravings (prints) AAT:(300041340), drypoints (prints) AAT:(300041349), ink AAT:(300015012), paper (fiber product) AAT:(300014109)",8 7/16  x 11 in. (21.43  x 27.94 cm),,The Lunder Collection,
38,004.1998,John Marin,,Clock Tower of Sta. Maria Zobenigo,1907,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
46,004.2007,James McNeill Whistler,,Anacapa Island,1854,2007,Etching in black ink on ivory wove paper; only state,"etchings (prints) AAT:(300041365), ink AAT:(300015012), wove paper AAT:(300014187)",(image: 148 x 240 mm; 203 x 267 mm),,The Lunder Collection,
5774,004.2008,Claes Oldenburg,,Typewriter Eraser,1977,2008,"Stainless steel, ferreo-cement and aluminum with acrylic paint ","stainless steel AAT:(300010920), cement (construction material) AAT:(300010362), aluminum (metal) AAT:(300011015), acrylic paint AAT:(300015058)",35 in. x 35 in. x 28 in. (88.9 cm x 88.9 cm x 71.12 cm),,The Lunder Collection,
6559,004.2009,Alex Katz,,Kym,2009,2009,Linocut on paper,"linocuts (prints) AAT:(300041393), paper (fiber product) AAT:(300014109)",18 3/4 in. x 32 in. (47.63 cm x 81.28 cm),,Promised Gift of the Artist,
6887,004.2010,James McNeill Whistler,,Rue Furstenburg,1894,2010,Lithograph on paper,"lithographs AAT:(300041379), paper (fiber product) AAT:(300014109)",11 7/8 in. x 8 1/16 in. (30.2 cm x 20.5 cm),,The Lunder Collection,
7219,004.2011,James McNeill Whistler,,The Beggars,1879-1880,2011,Etching and drypoint in black ink on ivory laid paper; seventh state (of seventeen),"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(301 x 209 mm; 315 x 209 mm),,The Lunder Collection,
7975,004.2013,George Catlin,,"Commanding General, a boy (Wa-Ta-We-Buck-A-Na)",ca.1844,2013,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",28 in. x 23 in. (71.12 cm x 58.42 cm),,The Lunder Collection,
8386,004.2014,James McNeill Whistler,,La Belle Dame Paresseuse,1894,2014,Transfer lithograph in black ink on cream laid paper,"transfer lithographs AAT:(300263141), ink AAT:(300015012), laid paper AAT:(300014184)",12 5/8  x 7 13/16 in. (32.07  x 19.84 cm),,The Lunder Collection,
48,005.1998,John Marin,,"Ye Old Dutch Church Upper Saddle River, N.J., No. 1",1951,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
49,005.1999,Richard Emil Miller,,Sunlight Interior,,1999,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",35 1/2 in. x 33 1/2 in. (90.17 cm x 85.09 cm),,The Lunder Collection,
55,005.2007,James McNeill Whistler,,The Little Cafe Au Bois,1894,2007,Lithograph on paper,"lithographs AAT:(300041379), paper (fiber product) AAT:(300014109)",13 in. x 8 in. (33.02 cm x 20.32 cm),,The Lunder Collection,
6588,005.2009,Abbott H. Thayer,,Mount Monadnock,ca. 1887,2009,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",16 5/8 in. x 13 5/8 in. (42.23 cm x 34.61 cm),,The Lunder Collection,
6892,005.2010,John Marin,,"Off Cape Split, Maine I",1934,2010,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",22 1/8 in. x 28 in. (56.2 cm x 71.12 cm),,Lent by Norma B. Marin,
7218,005.2011,James McNeill Whistler,,Hurlingham,1879,2011,Etching in black ink with brown ink and wash and black crayon additions on ivory laid paper; first state (of three),"etchings (prints) AAT:(300041365), ink AAT:(300015012), ink AAT:(300015012), wash (material) AAT:(300011051), crayons (drawing material) AAT:(300022415), laid paper AAT:(300014184)",(137 x 202 mm; 207 x 290 mm),,The Lunder Collection,
7974,005.2013,Victor Higgins,,The Wampum Traders,ca. 1916-1917,2013,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",29 in. (73.66 cm) diameter,,The Lunder Collection,
8385,005.2014,James McNeill Whistler,,Draped Figure Standing,1891,2014,Lithograph in red-orange ink on Japan pelure paper,"lithographs AAT:(300041379), ink AAT:(300015012), Japanese paper (handmade paper) AAT:(300014143)",11 3/4  x 9 7/16 in. (29.85  x 23.97 cm),,The Lunder Collection,
57,006.1998,John Marin,,"Ye Old Dutch Church Upper Saddle River, N.J., No. 2",1951,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
64,006.2007,James McNeill Whistler,,"The Barrow - Quartier des Marolles, Brussels",1887,2007,Etching and drypoint in dark brown ink on cream laid paper; third state (of eight),"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(125 x 175 mm; 128 x 175 mm),,The Lunder Collection,
6589,006.2009,Winslow Homer,,Under the Apple Boughs,1879,2009,Graphite and opaque watercolor on paper,"graphite (mineral) AAT:(300011098), gouache (paint) AAT:(300070114), paper (fiber product) AAT:(300014109)",9 1/8 in. x 14 3/8 in. (23.18 cm x 36.51 cm),,The Lunder Collection,
6893,006.2010,John Marin,,Movement: Grey and Blue,1952,2010,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",22 in. x 28 in. (55.88 cm x 71.12 cm),,Lent by Norma B. Marin,
7217,006.2011,James McNeill Whistler,,Zaandam state not checked,1889,2011,Drypoint in brown ink on ivory laid paper; second (final) state,"drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(130 x 216 mm; 132 x 216 mm)),,The Lunder Collection,
7978,006.2013,Alfred Jacob Miller,,Caravan En Route (William Drummond Stewart's Caravan),ca. 1850,2013,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",21 1/2 in. x 48 in. (54.61 cm x 121.92 cm),,The Lunder Collection,
8384,006.2014,James McNeill Whistler,,Model Draping,ca. 1889,2014,Transfer lithograph in black ink on laid paper,"transfer lithographs AAT:(300263141), ink AAT:(300015012), laid paper AAT:(300014184)",12 3/4  x 8 5/16 in. (32.39  x 21.11 cm),,The Lunder Collection,
8715,006.2015,James McNeill Whistler,,La Salute: Dawn,1879-1880,2015,Etching on laid paper,"etchings (prints) AAT:(300041365), laid paper AAT:(300014184)",5 x 8 1/16 in. (12.7 x 20.5 cm),,The Lunder Collection,
66,007.1998,John Marin,,"St. Paul's, New York",1925,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
6590,007.2009,James McNeill Whistler,,Three Female Figures,1869-1874,2009,Pen on brown paper with white heightening,"ink AAT:(300015012), paper (fiber product) AAT:(300014109)",8 7/8 in. x 10 1/2 in. (22.54 cm x 26.67 cm),,The Lunder Collection,
7216,007.2011,Rembrandt van Rijn,,Abraham casting out Hagar and Ishmael,1637,2011,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",5 in. x 3 13/16 in. (12.7 cm x 9.65 cm),,The Lunder Collection,
8383,007.2014,James McNeill Whistler,,The Medici Collar,1897,2014,Transfer lithograph in black ink on paper,"transfer lithographs AAT:(300263141), ink AAT:(300015012), paper (fiber product) AAT:(300014109)",12 5/8  x 8 3/4 in. (32.07  x 22.23 cm),,The Lunder Collection,
8716,007.2015,James McNeill Whistler,,Nocturne: Salute,1880,2015,Etching on laid paper,"etchings (prints) AAT:(300041365), laid paper AAT:(300014184)",6 3/8 x 9 in. (16.2 x 22.9 cm),,The Lunder Collection,
75,008.1998,John Marin,,Downtown Synthesis,1925,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
5800,008.2008,Harry Bertoia,,Sonambiant (Vertical),ca. 1965-1969,2008,Nickel Alloy rods,nickel alloy AAT:(300010933),36 1/2 in. (92.71 cm),,The Lunder Collection,
6591,008.2009,James McNeill Whistler,,Lobster Pots - Selsea Bill,1880-1881,2009,Etching in brown ink on off-white laid paper; fourth (final) state,"etchings (prints) AAT:(300041365), ink AAT:(300015012), laid paper AAT:(300014184)",(119 x 199 mm; 126 x 199 mm),,The Lunder Collection,
7215,008.2011,Oscar Edmund Berninghaus,,Desert Nocturne (Indian Nocturne),1919,2011,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",24 in. x 30 in. (60.96 cm x 76.2 cm),,The Lunder Collection,
7960,008.2013,Carl Wimar,,Funeral Raft of a Dead Chieftain ,1856,2013,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",,,The Lunder Collection,
